file,samples,valid_samples,parse_failures,accuracy,macro_f1,labels,gold_counts,pred_counts,dominant_label,dominant_rate,prediction_entropy_norm,missing_pred_labels,collapse_flag,confusion
runs\qwen05b_full45k_seed44_medqa_test1273.jsonl,1273,1273,0,0.408483896307934,0.40171885132751955,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 298, ""B"": 417, ""C"": 349, ""D"": 209}",B,0.3275726630007855,0.9788032797683451,,False,"{""A"": {""A"": 131, ""B"": 95, ""C"": 81, ""D"": 46}, ""B"": {""A"": 50, ""B"": 160, ""C"": 60, ""D"": 39}, ""C"": {""A"": 66, ""B"": 83, ""C"": 151, ""D"": 46}, ""D"": {""A"": 51, ""B"": 79, ""C"": 57, ""D"": 78}}"
runs\qwen15b_base_pubmedqa_test100.jsonl,100,100,0,0.62,0.40582419944122067,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 5, ""no"": 10, ""yes"": 85}",yes,0.85,0.4716734178155153,,True,"{""maybe"": {""maybe"": 1, ""no"": 1, ""yes"": 8}, ""no"": {""maybe"": 4, ""no"": 7, ""yes"": 23}, ""yes"": {""no"": 2, ""yes"": 54}}"
runs\qwen15b_base_medmcqa_val1000.jsonl,1000,1000,0,0.436,0.4252392396482467,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 306, ""B"": 296, ""C"": 216, ""D"": 182}",A,0.306,0.9837755417942474,,False,"{""A"": {""A"": 155, ""B"": 73, ""C"": 41, ""D"": 54}, ""B"": {""A"": 66, ""B"": 127, ""C"": 36, ""D"": 38}, ""C"": {""A"": 49, ""B"": 54, ""C"": 90, ""D"": 26}, ""D"": {""A"": 36, ""B"": 42, ""C"": 49, ""D"": 64}}"
runs\qwen15b_base_medqa_test1273.jsonl,1273,1273,0,0.46975648075412413,0.4672944839070959,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 315, ""B"": 396, ""C"": 275, ""D"": 287}",B,0.3110761979575805,0.9923547059912341,,False,"{""A"": {""A"": 160, ""B"": 82, ""C"": 49, ""D"": 62}, ""B"": {""A"": 45, ""B"": 173, ""C"": 42, ""D"": 49}, ""C"": {""A"": 64, ""B"": 69, ""C"": 151, ""D"": 62}, ""D"": {""A"": 46, ""B"": 72, ""C"": 33, ""D"": 114}}"
runs\qwen15b_full45k_seed42_pubmedqa_test100.jsonl,100,100,0,0.68,0.5668181382417793,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 15, ""no"": 27, ""yes"": 58}",yes,0.58,0.8683953071754504,,False,"{""maybe"": {""maybe"": 3, ""no"": 1, ""yes"": 6}, ""no"": {""maybe"": 5, ""no"": 21, ""yes"": 8}, ""yes"": {""maybe"": 7, ""no"": 5, ""yes"": 44}}"
runs\qwen15b_full45k_seed43_pubmedqa_test100.jsonl,100,100,0,0.7,0.6301734631771151,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 22, ""no"": 28, ""yes"": 50}",yes,0.5,0.9431098590224678,,False,"{""maybe"": {""maybe"": 6, ""no"": 2, ""yes"": 2}, ""no"": {""maybe"": 4, ""no"": 23, ""yes"": 7}, ""yes"": {""maybe"": 12, ""no"": 3, ""yes"": 41}}"
runs\qwen15b_full45k_seed44_pubmedqa_test100.jsonl,100,100,0,0.69,0.5557172557172557,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 14, ""no"": 31, ""yes"": 55}",yes,0.55,0.8803222797973554,,False,"{""maybe"": {""maybe"": 2, ""no"": 3, ""yes"": 5}, ""no"": {""maybe"": 5, ""no"": 23, ""yes"": 6}, ""yes"": {""maybe"": 7, ""no"": 5, ""yes"": 44}}"
runs\qwen15b_full45k_seed42_medmcqa_val1000.jsonl,1000,1000,0,0.538,0.5276441707197839,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 377, ""B"": 261, ""C"": 186, ""D"": 176}",A,0.377,0.9644163534544012,,False,"{""A"": {""A"": 207, ""B"": 53, ""C"": 28, ""D"": 35}, ""B"": {""A"": 77, ""B"": 139, ""C"": 23, ""D"": 28}, ""C"": {""A"": 43, ""B"": 45, ""C"": 105, ""D"": 26}, ""D"": {""A"": 50, ""B"": 24, ""C"": 30, ""D"": 87}}"
runs\qwen15b_full45k_seed43_medmcqa_val1000.jsonl,1000,1000,0,0.551,0.5396864776628781,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 371, ""B"": 255, ""C"": 190, ""D"": 184}",A,0.371,0.969014514019695,,False,"{""A"": {""A"": 211, ""B"": 47, ""C"": 31, ""D"": 34}, ""B"": {""A"": 68, ""B"": 143, ""C"": 25, ""D"": 31}, ""C"": {""A"": 43, ""B"": 38, ""C"": 108, ""D"": 30}, ""D"": {""A"": 49, ""B"": 27, ""C"": 26, ""D"": 89}}"
runs\qwen15b_full45k_seed44_medmcqa_val1000.jsonl,1000,1000,0,0.528,0.5172362790636003,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 361, ""B"": 267, ""C"": 199, ""D"": 173}",A,0.361,0.9703479116629508,,False,"{""A"": {""A"": 200, ""B"": 61, ""C"": 32, ""D"": 30}, ""B"": {""A"": 70, ""B"": 138, ""C"": 26, ""D"": 33}, ""C"": {""A"": 47, ""B"": 36, ""C"": 108, ""D"": 28}, ""D"": {""A"": 44, ""B"": 32, ""C"": 33, ""D"": 82}}"
runs\qwen15b_full45k_seed42_medqa_test1273.jsonl,1273,1273,0,0.5278868813825609,0.5237820914918843,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 313, ""B"": 355, ""C"": 342, ""D"": 263}",B,0.2788688138256088,0.9954365316545526,,False,"{""A"": {""A"": 179, ""B"": 69, ""C"": 55, ""D"": 50}, ""B"": {""A"": 51, ""B"": 170, ""C"": 40, ""D"": 48}, ""C"": {""A"": 44, ""B"": 56, ""C"": 202, ""D"": 44}, ""D"": {""A"": 39, ""B"": 60, ""C"": 45, ""D"": 121}}"
runs\qwen15b_full45k_seed43_medqa_test1273.jsonl,1273,1273,0,0.5467399842890809,0.5427025435019077,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 338, ""B"": 340, ""C"": 348, ""D"": 247}",C,0.27336999214454044,0.9935828961349014,,False,"{""A"": {""A"": 196, ""B"": 48, ""C"": 63, ""D"": 46}, ""B"": {""A"": 47, ""B"": 178, ""C"": 45, ""D"": 39}, ""C"": {""A"": 51, ""B"": 59, ""C"": 198, ""D"": 38}, ""D"": {""A"": 44, ""B"": 55, ""C"": 42, ""D"": 124}}"
runs\qwen15b_full45k_seed44_medqa_test1273.jsonl,1273,1273,0,0.5302435192458759,0.5268180767596089,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 315, ""B"": 357, ""C"": 360, ""D"": 241}",C,0.2827965435978005,0.9914130947784539,,False,"{""A"": {""A"": 175, ""B"": 61, ""C"": 70, ""D"": 47}, ""B"": {""A"": 50, ""B"": 178, ""C"": 46, ""D"": 35}, ""C"": {""A"": 49, ""B"": 60, ""C"": 200, ""D"": 37}, ""D"": {""A"": 41, ""B"": 58, ""C"": 44, ""D"": 122}}"
runs\qwen3b_base_pubmedqa_test100.jsonl,100,100,0,0.23,0.24536815841163664,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 81, ""no"": 12, ""yes"": 7}",maybe,0.81,0.5563963452803198,,True,"{""maybe"": {""maybe"": 9, ""yes"": 1}, ""no"": {""maybe"": 26, ""no"": 8}, ""yes"": {""maybe"": 46, ""no"": 4, ""yes"": 6}}"
runs\qwen3b_base_medmcqa_val1000.jsonl,1000,1000,0,0.49,0.48508201783650906,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 291, ""B"": 271, ""C"": 163, ""D"": 275}",A,0.291,0.9837381666079528,,False,"{""A"": {""A"": 169, ""B"": 60, ""C"": 25, ""D"": 69}, ""B"": {""A"": 57, ""B"": 130, ""C"": 23, ""D"": 57}, ""C"": {""A"": 30, ""B"": 47, ""C"": 92, ""D"": 50}, ""D"": {""A"": 35, ""B"": 34, ""C"": 23, ""D"": 99}}"
runs\qwen3b_base_medqa_test1273.jsonl,1273,1273,0,0.4964650432050275,0.4955535304608325,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 304, ""B"": 349, ""C"": 290, ""D"": 330}",B,0.2741555380989788,0.9981466171354908,,False,"{""A"": {""A"": 166, ""B"": 63, ""C"": 49, ""D"": 75}, ""B"": {""A"": 53, ""B"": 167, ""C"": 35, ""D"": 54}, ""C"": {""A"": 46, ""B"": 68, ""C"": 165, ""D"": 67}, ""D"": {""A"": 39, ""B"": 51, ""C"": 41, ""D"": 134}}"
runs\qwen3b_full45k_seed42_pubmedqa_test100.jsonl,100,100,0,0.61,0.5247140522875817,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 24, ""no"": 30, ""yes"": 46}",yes,0.46,0.9656755351855093,,False,"{""maybe"": {""maybe"": 4, ""no"": 4, ""yes"": 2}, ""no"": {""maybe"": 9, ""no"": 19, ""yes"": 6}, ""yes"": {""maybe"": 11, ""no"": 7, ""yes"": 38}}"
runs\qwen3b_full45k_seed43_pubmedqa_test100.jsonl,100,100,0,0.67,0.6145833333333334,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 22, ""no"": 30, ""yes"": 48}",yes,0.48,0.9526610591473245,,False,"{""maybe"": {""maybe"": 7, ""no"": 1, ""yes"": 2}, ""no"": {""maybe"": 6, ""no"": 21, ""yes"": 7}, ""yes"": {""maybe"": 9, ""no"": 8, ""yes"": 39}}"
runs\qwen3b_full45k_seed44_pubmedqa_test100.jsonl,100,100,0,0.65,0.5733970079764473,yes no maybe,"{""maybe"": 10, ""no"": 34, ""yes"": 56}","{""maybe"": 18, ""no"": 31, ""yes"": 51}",yes,0.51,0.9240167563733236,,False,"{""maybe"": {""maybe"": 5, ""no"": 3, ""yes"": 2}, ""no"": {""maybe"": 5, ""no"": 20, ""yes"": 9}, ""yes"": {""maybe"": 8, ""no"": 8, ""yes"": 40}}"
runs\qwen3b_full45k_seed42_medmcqa_val1000.jsonl,1000,1000,0,0.583,0.5752950770519494,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 345, ""B"": 284, ""C"": 206, ""D"": 165}",A,0.345,0.9719438492239231,,False,"{""A"": {""A"": 214, ""B"": 58, ""C"": 30, ""D"": 21}, ""B"": {""A"": 59, ""B"": 152, ""C"": 30, ""D"": 26}, ""C"": {""A"": 38, ""B"": 38, ""C"": 121, ""D"": 22}, ""D"": {""A"": 34, ""B"": 36, ""C"": 25, ""D"": 96}}"
runs\qwen3b_full45k_seed43_medmcqa_val1000.jsonl,1000,1000,0,0.581,0.5755693723337181,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 349, ""B"": 266, ""C"": 200, ""D"": 185}",A,0.349,0.9764851513605696,,False,"{""A"": {""A"": 211, ""B"": 53, ""C"": 31, ""D"": 28}, ""B"": {""A"": 71, ""B"": 145, ""C"": 22, ""D"": 29}, ""C"": {""A"": 36, ""B"": 36, ""C"": 122, ""D"": 25}, ""D"": {""A"": 31, ""B"": 32, ""C"": 25, ""D"": 103}}"
runs\qwen3b_full45k_seed44_medmcqa_val1000.jsonl,1000,1000,0,0.586,0.5776713813852032,A B C D,"{""A"": 323, ""B"": 267, ""C"": 219, ""D"": 191}","{""A"": 359, ""B"": 278, ""C"": 192, ""D"": 171}",A,0.359,0.968409257059263,,False,"{""A"": {""A"": 219, ""B"": 53, ""C"": 28, ""D"": 23}, ""B"": {""A"": 64, ""B"": 151, ""C"": 24, ""D"": 28}, ""C"": {""A"": 37, ""B"": 38, ""C"": 120, ""D"": 24}, ""D"": {""A"": 39, ""B"": 36, ""C"": 20, ""D"": 96}}"
runs\qwen3b_full45k_seed42_medqa_test1273.jsonl,1273,1273,0,0.5648075412411626,0.5618317936344702,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 317, ""B"": 354, ""C"": 332, ""D"": 270}",B,0.27808326787117044,0.9965491454720945,,False,"{""A"": {""A"": 197, ""B"": 63, ""C"": 43, ""D"": 50}, ""B"": {""A"": 40, ""B"": 183, ""C"": 43, ""D"": 43}, ""C"": {""A"": 41, ""B"": 61, ""C"": 203, ""D"": 41}, ""D"": {""A"": 39, ""B"": 47, ""C"": 43, ""D"": 136}}"
runs\qwen3b_full45k_seed43_medqa_test1273.jsonl,1273,1273,0,0.5640219952867243,0.5601213930758892,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 352, ""B"": 341, ""C"": 319, ""D"": 261}",A,0.27651217596229377,0.9954588066037409,,False,"{""A"": {""A"": 212, ""B"": 59, ""C"": 38, ""D"": 44}, ""B"": {""A"": 46, ""B"": 178, ""C"": 40, ""D"": 45}, ""C"": {""A"": 52, ""B"": 58, ""C"": 196, ""D"": 40}, ""D"": {""A"": 42, ""B"": 46, ""C"": 45, ""D"": 132}}"
runs\qwen3b_full45k_seed44_medqa_test1273.jsonl,1273,1273,0,0.5679497250589159,0.5648512426971184,A B C D,"{""A"": 353, ""B"": 309, ""C"": 346, ""D"": 265}","{""A"": 329, ""B"": 363, ""C"": 332, ""D"": 249}",B,0.28515318146111546,0.9934098379116049,,False,"{""A"": {""A"": 199, ""B"": 65, ""C"": 48, ""D"": 41}, ""B"": {""A"": 42, ""B"": 187, ""C"": 39, ""D"": 41}, ""C"": {""A"": 48, ""B"": 60, ""C"": 204, ""D"": 34}, ""D"": {""A"": 40, ""B"": 51, ""C"": 41, ""D"": 133}}"
