task,model,condition,family,label,support,n_runs,seeds,pred_count_mean,pred_count_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
medqa,qwen15b,full45k,self_update,A,353,3,42 43 44,322.0,13.892443989449804,0.5691073987952828,0.012398630379195237,0.5193578847969783,0.03158777843942918,0.5429278034935028,0.022167917366153114
medqa,qwen15b,full45k,self_update,B,309,3,42 43 44,350.6666666666667,9.291573243177568,0.5003340303257453,0.02237856195180146,0.5674217907227617,0.014947579784844695,0.5317063122862593,0.018407687877255705
medqa,qwen15b,full45k,self_update,C,346,3,42 43 44,350.0,9.16515138991168,0.571721449216912,0.017705461930671056,0.5780346820809249,0.005780346820809246,0.574795575868602,0.010938081346639214
medqa,qwen15b,full45k,self_update,D,265,3,42 43 44,250.33333333333334,11.372481406154654,0.48944146783846454,0.025517749577746985,0.46163522012578617,0.0057642461571771565,0.47497392402283706,0.014451644565484336
medqa,qwen3b,base,frozen_baseline,A,353,1,,304.0,0.0,0.5460526315789473,0.0,0.4702549575070821,0.0,0.5053272450532723,0.0
medqa,qwen3b,base,frozen_baseline,B,309,1,,349.0,0.0,0.4785100286532951,0.0,0.540453074433657,0.0,0.5075987841945289,0.0
medqa,qwen3b,base,frozen_baseline,C,346,1,,290.0,0.0,0.5689655172413793,0.0,0.476878612716763,0.0,0.518867924528302,0.0
medqa,qwen3b,base,frozen_baseline,D,265,1,,330.0,0.0,0.40606060606060607,0.0,0.5056603773584906,0.0,0.4504201680672269,0.0
medqa,qwen3b,full45k,self_update,A,353,3,42 43 44,332.6666666666667,17.7857620959388,0.6095290177527241,0.010405756712236548,0.5741265344664778,0.023072316757073927,0.5910186179396067,0.009281124706967821
medqa,qwen3b,full45k,self_update,B,309,3,42 43 44,352.6666666666667,11.060440015358038,0.5180316008637496,0.0035474120176400845,0.5911542610571737,0.014593041271271492,0.5520920419449831,0.004427919784480676
medqa,qwen3b,full45k,self_update,C,346,3,42 43 44,327.6666666666667,7.505553499465135,0.6134412257179187,0.001728207149339392,0.5809248554913296,0.01259797382526205,0.5966878849040004,0.006419417901033317
medqa,qwen3b,full45k,self_update,D,265,3,42 43 44,260.0,10.535653752852738,0.5145291254417415,0.017011234677742,0.5044025157232704,0.00785534339421182,0.5092740277547135,0.007839982846258114
pubmedqa,qwen05b,base,frozen_baseline,maybe,10,1,,83.0,0.0,0.10843373493975904,0.0,0.9,0.0,0.19354838709677422,0.0
pubmedqa,qwen05b,base,frozen_baseline,no,34,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pubmedqa,qwen05b,base,frozen_baseline,yes,56,1,,17.0,0.0,0.7058823529411765,0.0,0.21428571428571427,0.0,0.3287671232876712,0.0
pubmedqa,qwen05b,full45k,self_update,maybe,10,3,42 43 44,9.0,6.082762530298219,0.15277777777777776,0.16839382851364085,0.13333333333333333,0.11547005383792516,0.1346153846153846,0.1261045870058077
pubmedqa,qwen05b,full45k,self_update,no,34,3,42 43 44,27.333333333333332,5.686240703077327,0.6900314723590586,0.07064158022429581,0.5490196078431373,0.089854425391291,0.6066378066378066,0.05224542112267191
pubmedqa,qwen05b,full45k,self_update,yes,56,3,42 43 44,63.666666666666664,2.0816659994661326,0.7071482877934491,0.03097851008867926,0.8035714285714286,0.03092947870658705,0.7521494844117141,0.028535926713039297
pubmedqa,qwen15b,base,frozen_baseline,maybe,10,1,,5.0,0.0,0.2,0.0,0.1,0.0,0.13333333333333333,0.0
pubmedqa,qwen15b,base,frozen_baseline,no,34,1,,10.0,0.0,0.7,0.0,0.20588235294117646,0.0,0.3181818181818182,0.0
pubmedqa,qwen15b,base,frozen_baseline,yes,56,1,,85.0,0.0,0.6352941176470588,0.0,0.9642857142857143,0.0,0.7659574468085105,0.0
pubmedqa,qwen15b,full45k,self_update,maybe,10,3,42 43 44,17.0,4.358898943540674,0.20519480519480518,0.06509072252541125,0.36666666666666664,0.20816659994661327,0.26055555555555554,0.10567683091668006
pubmedqa,qwen15b,full45k,self_update,no,34,3,42 43 44,28.666666666666668,2.0816659994661326,0.7803806110257723,0.03981041067419249,0.6568627450980392,0.03396178054056623,0.7127174605757367,0.02705771632589077
pubmedqa,qwen15b,full45k,self_update,yes,56,3,42 43 44,54.333333333333336,4.041451884327381,0.7928735632183908,0.031304065398976046,0.7678571428571428,0.030929478706587115,0.7794358410048577,0.01159702307318384
pubmedqa,qwen3b,base,frozen_baseline,maybe,10,1,,81.0,0.0,0.1111111111111111,0.0,0.9,0.0,0.1978021978021978,0.0
pubmedqa,qwen3b,base,frozen_baseline,no,34,1,,12.0,0.0,0.6666666666666666,0.0,0.23529411764705882,0.0,0.3478260869565218,0.0
pubmedqa,qwen3b,base,frozen_baseline,yes,56,1,,7.0,0.0,0.8571428571428571,0.0,0.10714285714285714,0.0,0.19047619047619047,0.0
pubmedqa,qwen3b,full45k,self_update,maybe,10,3,42 43 44,21.333333333333332,3.0550504633038935,0.2542087542087542,0.07845912591064676,0.5333333333333333,0.15275252316519464,0.343312324929972,0.10180995742314017
pubmedqa,qwen3b,full45k,self_update,no,34,3,42 43 44,30.333333333333332,0.5773502691896257,0.6594982078853047,0.03557065525136371,0.5882352941176471,0.02941176470588236,0.6217948717948718,0.031739266539003774
pubmedqa,qwen3b,full45k,self_update,yes,56,3,42 43 44,48.333333333333336,2.516611478423583,0.8076335606706451,0.021307566297289506,0.6964285714285714,0.01785714285714285,0.7475871968725185,0.002451872222068548
