pair,n,labels,before_file,after_file,accuracy_before,accuracy_after,delta_accuracy,macro_f1_before,macro_f1_after,delta_macro_f1,before_correct_after_wrong,before_wrong_after_correct,mcnemar_p,dominant_before,dominant_after,dominant_rate_before,dominant_rate_after,delta_dominant_rate,entropy_before,entropy_after,delta_entropy,collapse_before,collapse_after
qwen15b_medqa_s42,1273,A B C D,runs\qwen15b_base_medqa_test1273.jsonl,runs\qwen15b_full45k_seed42_medqa_test1273.jsonl,0.46975648075412413,0.5278868813825609,0.058130400628436774,0.4672944839070959,0.5237820914918843,0.05648760758478838,140,214,9.903532643944338e-05,B,B,0.3110761979575805,0.2788688138256088,-0.03220738413197172,0.9923547059912341,0.9954365316545526,0.0030818256633184937,False,False
qwen15b_medqa_s43,1273,A B C D,runs\qwen15b_base_medqa_test1273.jsonl,runs\qwen15b_full45k_seed43_medqa_test1273.jsonl,0.46975648075412413,0.5467399842890809,0.07698350353495675,0.4672944839070959,0.5427025435019077,0.07540805959481184,118,216,9.055173226420027e-08,B,C,0.3110761979575805,0.27336999214454044,-0.03770620581304007,0.9923547059912341,0.9935828961349014,0.0012281901436672626,False,False
qwen15b_medqa_s44,1273,A B C D,runs\qwen15b_base_medqa_test1273.jsonl,runs\qwen15b_full45k_seed44_medqa_test1273.jsonl,0.46975648075412413,0.5302435192458759,0.06048703849175174,0.4672944839070959,0.5268180767596089,0.05952359285251302,132,209,3.596891983799394e-05,B,C,0.3110761979575805,0.2827965435978005,-0.028279654359780027,0.9923547059912341,0.9914130947784539,-0.0009416112127802467,False,False
qwen3b_pubmedqa_s42,100,yes no maybe,runs\qwen3b_base_pubmedqa_test100.jsonl,runs\qwen3b_full45k_seed42_pubmedqa_test100.jsonl,0.23,0.61,0.38,0.24536815841163664,0.5247140522875817,0.2793458938759451,6,44,3.243740565039843e-08,maybe,yes,0.81,0.46,-0.35000000000000003,0.5563963452803198,0.9656755351855093,0.4092791899051895,True,False
qwen3b_pubmedqa_s43,100,yes no maybe,runs\qwen3b_base_pubmedqa_test100.jsonl,runs\qwen3b_full45k_seed43_pubmedqa_test100.jsonl,0.23,0.67,0.44000000000000006,0.24536815841163664,0.6145833333333334,0.36921517492169675,3,47,3.708322537931963e-11,maybe,yes,0.81,0.48,-0.33000000000000007,0.5563963452803198,0.9526610591473245,0.3962647138670047,True,False
qwen3b_pubmedqa_s44,100,yes no maybe,runs\qwen3b_base_pubmedqa_test100.jsonl,runs\qwen3b_full45k_seed44_pubmedqa_test100.jsonl,0.23,0.65,0.42000000000000004,0.24536815841163664,0.5733970079764473,0.3280288495648107,5,47,1.2848229147266466e-09,maybe,yes,0.81,0.51,-0.30000000000000004,0.5563963452803198,0.9240167563733236,0.3676204110930038,True,False
qwen3b_medmcqa_s42,1000,A B C D,runs\qwen3b_base_medmcqa_val1000.jsonl,runs\qwen3b_full45k_seed42_medmcqa_val1000.jsonl,0.49,0.583,0.09299999999999997,0.48508201783650906,0.5752950770519494,0.09021305921544032,71,164,1.198689218156809e-09,A,A,0.291,0.345,0.05399999999999999,0.9837381666079528,0.9719438492239231,-0.011794317384029696,False,False
qwen3b_medmcqa_s43,1000,A B C D,runs\qwen3b_base_medmcqa_val1000.jsonl,runs\qwen3b_full45k_seed43_medmcqa_val1000.jsonl,0.49,0.581,0.09099999999999997,0.48508201783650906,0.5755693723337181,0.09048735449720902,67,158,1.1819249660251033e-09,A,A,0.291,0.349,0.057999999999999996,0.9837381666079528,0.9764851513605696,-0.007253015247383199,False,False
qwen3b_medmcqa_s44,1000,A B C D,runs\qwen3b_base_medmcqa_val1000.jsonl,runs\qwen3b_full45k_seed44_medmcqa_val1000.jsonl,0.49,0.586,0.09599999999999997,0.48508201783650906,0.5776713813852032,0.09258936354869418,60,156,4.913652064094459e-11,A,A,0.291,0.359,0.068,0.9837381666079528,0.968409257059263,-0.015328909548689817,False,False
qwen3b_medqa_s42,1273,A B C D,runs\qwen3b_base_medqa_test1273.jsonl,runs\qwen3b_full45k_seed42_medqa_test1273.jsonl,0.4964650432050275,0.5648075412411626,0.06834249803613512,0.4955535304608325,0.5618317936344702,0.06627826317363772,81,168,3.696187957842134e-08,B,B,0.2741555380989788,0.27808326787117044,0.003927729772191635,0.9981466171354908,0.9965491454720945,-0.0015974716633962993,False,False
qwen3b_medqa_s43,1273,A B C D,runs\qwen3b_base_medqa_test1273.jsonl,runs\qwen3b_full45k_seed43_medqa_test1273.jsonl,0.4964650432050275,0.5640219952867243,0.06755695208169676,0.4955535304608325,0.5601213930758892,0.06456786261505665,94,180,2.2656438089320823e-07,B,A,0.2741555380989788,0.27651217596229377,0.00235663786331497,0.9981466171354908,0.9954588066037409,-0.0026878105317499346,False,False
qwen3b_medqa_s44,1273,A B C D,runs\qwen3b_base_medqa_test1273.jsonl,runs\qwen3b_full45k_seed44_medqa_test1273.jsonl,0.4964650432050275,0.5679497250589159,0.07148468185388845,0.4955535304608325,0.5648512426971184,0.06929771223628589,96,187,6.847160714177112e-08,B,B,0.2741555380989788,0.28515318146111546,0.010997643362136655,0.9981466171354908,0.9934098379116049,-0.004736779223885934,False,False
